Gender;Age;Education_level;Employment_status;Income_group;Country;Household_members_number;Number_vehicles_household;Car_sharing_;Leisure_trips_number;Plan_to_purchase_vehicle;buy_electric
1;41;3;1;3;1;4;2;2;1;3;0
2;25;4;1;5;1;6;2;2;2;1;1
1;33;3;1;2;1;4;1;2;0;3;1
2;23;3;4;6;1;2;2;2;3;4;0
2;20;3;4;5;1;2;1;2;3;4;0
1;40;3;1;2;1;1;2;2;0;4;0
2;58;3;5;5;1;3;1;2;1;3;1
1;33;2;1;3;1;2;2;2;1;4;1
2;52;2;2;4;1;3;1;2;1;5;0
1;34;4;4;3;1;2;3;2;1;3;0
1;24;4;4;3;1;3;2;2;10;5;1
2;58;3;1;3;1;3;1;1;1;3;1
1;18;3;1;2;1;4;2;2;25;3;0
2;22;3;4;4;1;1;0;2;5;4;1
2;47;2;6;5;1;3;1;2;2;3;0
1;43;2;1;3;1;2;1;1;1;1;1
1;34;3;1;4;1;3;2;2;1;3;0
1;43;2;1;3;1;2;2;2;0;3;0
2;35;2;2;4;1;5;2;2;0;3;0
1;37;3;1;3;1;2;2;1;0;2;0
1;46;3;1;3;1;2;2;2;0;1;0
1;22;3;4;5;1;2;1;2;12;4;0
1;38;2;1;3;1;2;1;2;3;3;1
2;31;2;1;3;1;2;2;2;1;4;1
1;27;2;1;2;1;2;1;2;3;5;0
2;44;4;2;5;1;1;1;2;2;4;0
2;53;4;1;2;1;2;2;2;0;3;0
1;42;4;1;3;1;4;1;2;0;4;1
1;29;3;2;3;1;3;2;2;2;4;0
1;33;2;1;3;1;4;3;2;2;1;0
2;48;3;1;3;1;2;1;2;2;4;0
1;18;3;2;3;1;2;1;2;1;3;0
2;48;2;1;4;1;1;1;2;1;3;1
2;52;3;2;6;1;3;2;2;0;4;0
1;49;1;3;5;1;1;1;2;0;3;0
1;39;4;1;3;1;2;1;2;25;5;0
1;44;4;1;3;1;3;1;2;1;4;1
1;24;3;4;5;1;1;1;2;3;3;1
2;43;4;1;3;1;1;1;2;6;4;0
